Location,Age_primary, Age_Secondary,Literacy_Rate,Enrollment_primaryBoys,Enrollment_primaryGirls,Enrollment_Primary Total,Enrollment_secondary_Boys,Enrollment_Secondar_Girls,Enrollment_secondary_total,Dropout _primary_boys,Dropout_primary_girls,Dropout_primary_Total,Dropout_secondary_boysDropout_secondary_boy,Dropout_Secondary_girls,Dropout_Secondary_total,Schools_with_girsl_toilet,Schools_with_boys_toilet
Puducherry,5,16,86.55,83.62,91.49,87.11,90.05,91.3,90.57,0.25,0.43,0.34,6.79,3.87,5.25,0,100
Puducherry,6,14,86.55,103.3,102.85,103.08,64.1,62.57,63.34,0.76,0.57,0.66,13.24,9.28,11.16,0,100
Puducherry,5,14,86.55,85.41,78.78,82.18,35.57,40.39,37.7,0.36,0.38,0.37,5.4,3.69,4.5,92.83,100
Punjab,6,15,83.7,83.93,87.37,85.47,28.45,55.97,37.48,1.99,1.98,1.99,9.69,6.53,8.28,100,0
Punjab,5,15,83.7,109.38,114.61,111.75,89.51,94.23,91.63,1.35,1.21,1.29,7.87,3.2,5.81,100,94.67
Punjab,5,16,83.7,103.03,105.01,103.97,73.68,82.57,77.88,2.89,3.25,3.05,7.52,3.67,5.83,100,98.08
Rajasthan,6,17,69.7,97.57,100.07,98.72,47.44,42.02,44.93,7.2,8.85,7.97,NR,NR,NR,0,0
Rajasthan,5,14,69.7,95.92,99.61,97.57,67.76,63.29,65.78,7.76,9.12,8.39,NR,NR,NR,98.02,100
Rajasthan,6,17,69.7,98.52,100.44,99.43,101.69,99.31,100.58,5.02,5.02,5.02,NR,NR,NR,100,0
Sikkim,4,15,82.2,85.06,87,85.97,62.31,56.08,59.33,4.78,2.31,3.6,11.79,4.92,8.1,0,0
Sikkim,4,16,82.2,107.77,109.08,108.4,48.37,49.06,48.69,5.55,3.49,4.57,14.11,11.92,12.91,100,0
Sikkim,4,17,82.2,101.89,101.84,101.86,30.81,35.32,32.96,3.75,0.62,2.27,12.48,11.17,11.76,0,0
Tamil  Nadu,4,15,82.9,95.22,95,95.11,73.74,80.13,76.87,4.02,4.1,4.06,1.34,2.33,1.87,0,100
Tamil Nadu,5,17,82.9,78.76,74.21,76.45,91.54,81.15,85.99,0.53,0.39,0.46,4.55,4.35,4.44,0,100
Tamil Nadu,5,16,82.9,101.94,100.2,101.11,47.75,42.9,45.48,NR,NR,NR,4.59,2.34,3.41,0,100
Telangana,5,17,72.8,99,98.88,98.95,62.85,61.46,62.2,6.04,5.57,5.81,13.67,13.2,13.43,100,81.66
Telangana,4,15,72.8,132.47,136.38,134.37,68.35,62.45,65.39,2.21,1.94,2.08,2.06,NR,0.77,100,100
Tripura,4,16,87.75,136.19,140.69,138.4,31.95,40.21,36.03,2.31,2.11,2.22,8.4,9.49,8.87,100,0
Tripura,4,15,87.75,124.8,120.44,122.66,61.94,62.28,62.11,3.63,3.52,3.58,9.15,9.06,9.11,81.62,0
Tripura,5,16,87.75,99.32,101.91,100.57,34.13,33.08,33.61,1.37,1.19,1.28,8.97,8.89,8.93,100,0
Uttar Pradesh,4,15,73,106.88,104.12,105.53,@,@,@,10.53,10.03,10.28,NR,NR,NR,0,0
Uttar Pradesh,5,16,73,84.49,92.4,88.16,61.25,82.15,70.87,7.91,6.21,7.08,NR,NR,NR,0,100
Uttar Pradesh,5,17,73,103.4,107.26,105.11,68.61,70.38,69.39,9.08,8.04,8.58,1.79,2.45,2.1,0,92.31
Uttarakhand,4,15,87.6,99.82,97.31,98.64,63.85,48.02,56.46,1.14,1.18,1.16,1.35,1.85,1.59,0,0
Uttarakhand,4,14,87.6,116.95,108.05,112.57,60.61,76.66,68.55,3.28,2.83,3.07,0.23,NR,NR,100,100
Uttarakhand,4,16,87.6,102.79,103.45,103.11,69.97,85.73,77.52,4.37,3.67,4.04,3.4,2.61,3.01,92.31,100
West Bengal,5,15,80.5,103.55,103.59,103.57,55.64,61.31,58.33,6.88,5.71,6.3,7.81,8.49,8.13,0,0
West Bengal,5,16,80.5,109.5,110.49,109.98,46.48,40.05,43.4,3.44,2.37,2.91,8.03,7.76,7.9,91.67,100
West Bengal,5,15,80.5,91.54,98.93,95,65.36,62.01,63.75,2.13,0.79,1.47,8.18,8.04,8.11,100,100
All India,5,16,77.7,100.11,101.02,100.54,79.82,80.95,80.36,4.68,4.66,4.67,NR,NR,NR,0,74.36
All India,4,14,77.7,101.78,102.91,102.33,48.27,51.82,49.95,4.53,4.14,4.34,1.48,1.61,1.54,100,88.97
All India,5,14,77.7,98.85,101.43,100.08,54.57,53.81,54.21,4.36,3.88,4.13,0.25,NR,NR,100,95.67
